author_id,pdf_name,confidence_score
0,SLw9fp4yI6.pdf,1.0
1,SLw9fp4yI6.pdf,1.0
2,4olqbTBt1Y.pdf,1.0
3,b3l0piOrGU.pdf,1.0
4,b3l0piOrGU.pdf,1.0
5,b3l0piOrGU.pdf,1.0
6,4olqbTBt1Y.pdf,1.0
7,4olqbTBt1Y.pdf,1.0
8,b3l0piOrGU.pdf,1.0
8,LXVswInHOo.pdf,1.0
9,b3l0piOrGU.pdf,1.0
10,4olqbTBt1Y.pdf,1.0
11,4olqbTBt1Y.pdf,1.0
12,LXVswInHOo.pdf,1.0
13,LXVswInHOo.pdf,1.0
14,LXVswInHOo.pdf,1.0
15,4olqbTBt1Y.pdf,1.0
16,SLw9fp4yI6.pdf,1.0
17,LXVswInHOo.pdf,1.0
18,LXVswInHOo.pdf,1.0
19,LXVswInHOo.pdf,1.0
20,LXVswInHOo.pdf,1.0
21,b3l0piOrGU.pdf,1.0
22,b3l0piOrGU.pdf,1.0
23,b3l0piOrGU.pdf,1.0
24,LXVswInHOo.pdf,1.0
25,SLw9fp4yI6.pdf,1.0
26,4olqbTBt1Y.pdf,1.0
27,LXVswInHOo.pdf,1.0
28,b3l0piOrGU.pdf,1.0
